datasetid,title,citation,DOI,licence,accessconstraint,abstract,description,contact,include,complete,theme,keyword
6183,"Abundance and biomass of benthic infauna as part of the North Channel habitat mapping project, 2017","Agri-Food & Biosciences Institute (AFBI), Northern Ireland; (2019); Abundance and biomass of benthic infauna as part of the North Channel habitat mapping project, 2017 https://doi.org/10.17031/ijdo70",https://doi.org/10.17031/ijdo70,Attribution (CC BY),NA,"This dataset contains information on infaunal abundance and biomass from sediment grabs in North Channel as part of a larger, more comprehensive habitat mapping project. This survey was carried out over two days in 2017 by the Agri-Food & Biosciences Institute (AFBI) on the RV Corystes. A 0.1m2 Day Grab was used to collect the sediment samples. Particle size analysis (PSA) and Carbon & Nitrogen analysis were carried out. The infaunal samples were sent away to accredited taxonomic laboratories to be identified and weighed. There were many commercially and biologically important species found in the samples for example Modiolus modiolus (Northern Ireland priority species) and a few non-native species such as Goniadella gracilis. There were also a few records of species that are not formally recorded in the UK e.g. Syllis licheri. The most abundant species recorded was the polychaete Sabellaria spinulosa. The polychaete species Syllis armillaris was present in all 12 samples taken.","""This data contains information on infaunal abundance and biomass from grab samples carried out in the North Channel in 2017. The survey dates were 2017-07-15 and 2017-09-28. In total there were 12 grab samples taken for infaunal analysis and identification. This survey is part of a larger seabed habitat mapping project of the North Channel with the aim to help with future management of the area as well as having a better understanding of the biology and topography of the area (i.e. are there any species present of commercial or conservation importance?). The AFBI research vessel RV Corystes was used to collect the samples using a 0.1m2 Day grab. The methodology used for collecting samples in the day grab is detailed below.
• A 0.1m2 day grab was used to take a sample of the sediment & associated infaunal communities.
• When the sample reaches the deck, a 250ml sample is taken for PSA and a further 25ml is taken for C & N analysis. The rest of the sample is carefully sieved to reveal any infauna.
• Fixed Formalin (4% buffered formaldehyde) is added to the remains of the sample and these are placed in labelled buckets.
• The samples are sent to accredited taxonomic laboratories were they are identified to as high a level as possible and weighed.
""",Catherine Gibson,T,T,"Benthos , Zooplankton",
6187,Abundance & Biomass of benthic infauna from grab samples taken as part of an ecosystem assessment of Belfast Lough in 2012,"Agri-Food & Biosciences Institute (AFBI), Northern Ireland; (2020): Abundance & Biomass of benthic infauna from grab samples taken as part of an ecosystem assessment of Belfast Lough in 2012.",NA,Attribution (CC BY),NA,This dataset contains information on the abundance & biomass of infauna found in sediment grab samples carried out in Belfast Lough as part of a mussel (Mytilus edulis) bed stock assessment and Crepidula (Crepidula fornicata) survey in September 2012. The main aim of the survey was to assess the stock of mussel beds in Belfast Lough and to survey the Crepidula population in Belfast Lough. The infaunal surveying was carried out using a 0.1m2 day grab and a 1mm sieve. Samples were taken at 50 stations over 5 days in September in 2012- abundance & biomass were recorded and infauna were identified to species level where possible. Particle size analysis & Carbon and Nitrogen analysis was also carried out at each station. The most abundant species found and most frequently recorded was the polychaete Melinna palmata.,"""This dataset contains information on the abundance & biomass of macrofauna found in sediment grab samples taken from Belfast Lough in September of 2012. These samples were taken as part of the mussel (Mytilus edulis) bed stock assessment in Belfast Lough as well as investigating the presence of the invasive Crepidula (Crepidula fornicata) in these mussel beds. Crepidula (also known as slipper limpets are an invasive species in Belfast Lough. This species was originally found along the East coast of the Americas and they were first documented in Belfast Lough in 2009. Belfast Lough now contains the only viable population in Ireland.
Mussel dredge samples (taken using a 2ft wide mussel dredge with 30kg capacity), infaunal samples, particle size analysis samples and Carbon & Nitrogen samples were all taken as part of this survey. This dataset only contains the information regarding the infaunal samples. 
The methodology for collecting the infaunal samples is as follows; •A 0.1m2 day grab was used to take a sample of the sediment & associated infaunal communities.
• When the sample reaches the deck, a 250ml sample is taken for PSA and a further 25ml is taken for C & N analysis. The rest of the sample is carefully sieved to reveal any infauna.
• Fixed Formalin (4% buffered formaldehyde) is added to the remains of the sample and these are placed in labelled buckets.
• The samples are sent to accredited taxonomic laboratories were they are identified to as high a level as possible and weighed. The grab samples were taken on 5 separate days throughout the course of August & September 2012. Three different vessels were used in sampling. The “Osprey I” carried out sampling in Belfast Lough on 2012-08-21, 2012-09-06 & 2012-09-07. The “Swiftsure” (10m pot fishing boat) was used for sampling on 2012-09-13 and finally the RV Corystes carried out sampling on 2012-09-26. No successful infaunal samples were taken on 2012-08-21 and so this date does not appear in the dataset. The same survey equipment was used on board all vessels. 
""",Matt Service,T,T,Benthos,
6192,"Abundances of benthic infauna from grab sediment samples as part of the INIS Hyrdo project, Co. Down (Northern Ireland), 2011","Agri-Food & Biosciences Institute (AFBI), Northern Ireland; (2019) Abundances of benthic infauna from grab sediment samples as part of the INIS Hyrdo project, Co. Down (Northern Ireland), 2011. https://doi.org/10.17031/ktr5zl",https://doi.org/10.17031/ktr5zl,Attribution (CC BY),NA,"This dataset contains information on the abundance of benthic infauna species from sediment grabs collected from the South East Mourne Coast off Co. Down (Northern Ireland). This survey is part of a large project called INIS Hydro which aims to provide high resolution seabed baseline data for the coast of Ireland, Northern Ireland and Scotland using multibeam echosounders and grab samples for ground truthing. This survey was carried out in February 2011 on the RV Corystes using a 0.1m2 day grab. There were 47 grab samples taken in which infaunal analysis, Particle Size Analysis (PSA) and and Carbon & Nitrogen (C&N) analysis were carried out. The most abundant species found was the brittle star Amphiura filiformis and the most frequently recorded was the polychaete Lumbrineris cingulata.","""This dataset contains information on the abundance of benthic infauna from sediment grabs collected from the South-east Mourne Coast off Co. Down (Northern Ireland). The main aim of this survey was to contribute to the INIS Hydro project. The main aims of the project are to provide a high resolution baseline dataset of the seabed off the coast of Ireland, Northern Ireland and Scotland using a multibeam echo sounder and ground truthing methods (grab samples). The areas surveyed in this project are important in many ways e.g. important navigation channels, environnmental/conservation significance or potential sites for renewable developments, but are poorly charted. Therefore, this project aims to create accurate, updated and concise seabed maps of these important areas. In this survey there were 47 samples taken for infaunal analysis and PSA and C & N analysis. The survey was carried out on board the RV Corystes using a 0.1m2 day grab on 2011-02-16 and 2011-02-17. The methodology for the day grab is detailed below.
• A 0.1m2 day grab was used to take a sample of the sediment & associated infaunal communities.
• When the sample reaches the deck, a 250ml sample is taken for PSA and a further 25ml is taken for C & N analysis. The rest of the sample is carefully sieved to reveal any infauna.
• Fixed Formalin (4% buffered formaldehyde) is added to the remains of the sample and these are placed in labelled buckets.
• The samples are sent to accredited taxonomic laboratories were they are identified to as high a level as possible and weighed.
""",Matt Service,T,T,"Benthos , Zooplankton",
6204,Dutch national shellfish monitoring in the coastal zone,Wageningen Marine Research (2019). WOT-schelpdieren: Dutch national shellfish monitoring in the coastal zone,NA,Attribution (CC BY),NA,"Every year, Wageningen Marine Research carries out shellfish surveys in the Dutch coastal waters (Wadden Sea, Oosterschelde, Westerschelde and Coastal Zone), investigating the distribution and size of the most important commercial shellfish species. These are mainly mussels, cockles, knife hives and Japanese oysters, but also other species with a certain importance for ecology or fishing are included. In addition, catch data from professional fishing are also collected. The data is used by the government when deciding whether or not to permit fishing.","Furthermore, the survey data is important for the evaluation of control measures and impact studies in the context of Natura 2000 and the nature conservation law. Within the Natura 2000 areas of the Wadden Sea, Oosterschelde, Westerschelde, Voordelta and North Sea Coastal Zone, conservation objectives have been set for various bird species that rely on shellfish as a food source. In addition, shellfish banks are an important element in various habitat types",Jan Tjalling van der Wal,T,F,Benthos,
6282,Monitoring of the effects of Belgian wind mill parks on benthic macro-invertebrates and the fish fauna of soft substrates - reference situation. (WINMON),"Scory, S. (2019) Monitoring of the effects of Belgian wind mill parks on benthic macro-invertebrates and the fish fauna of soft substrates - reference situation. (WINMON)",NA,Attribution (CC BY),NA,"This dataset has been created to establish the reference situation of benthic macro-invertebrates (macro-, endobenthos en macro-epibenthos) and demersal fish in the Belgian windfarm area",NA,Serge Scory,T,T,"Endobenthos , Epibenthos , Macrobenthos , Demersal fish , Birds","Biological monitoring , Offshore Wind Energy , Wind farms"
6451,"Macrobenthos Data from Shoreham, the Tyne and the Thames Estuaries, UK, 2000 to 2006","Rees et al.; (2020): Macrobenthos Data from Shoreham, the Tyne and the Thames Estuaries, UK, 2000 to 2006. Cefas, UK. V1. https://doi.org/10.14466/CefasDataHub.45",https://doi.org/10.14466/CefasDataHub.45,Attribution (CC BY),NA,"These data describe counts of macrobenthic infauna (with associated station metadata) taken from sediment samples collected at sites in the Tyne, Thames and Shoreham, UK from 2000 to 2006. For selected samples, wet biomass data is also included per taxon. The samples from the Shoreham site were collected across an aggregate extraction area over 4 years with the aim to test several habitat mapping techniques by documenting the presence of different faunal levels across the area. The samples collected at the Tyne and Thames were initiated at former sewage sludge disposal sites. Cefas conducted annual sampling in these areas during and post cessation of sewage disposal after January 1999 to monitor the benthic macrofauna community.","To obtain the macrofauna, sediment samples were collected using a sediment samples collected using a Day Grab (Van Veen, 0.1m2) or a Hamon grab (either 0.1m2 or 0.25m2), depending on the area and nature of the sediments. Samples were then immediately sieved on board with running seawater over a 0.5mm and/or 1mm mesh sieve to remove the sediment. After sieving, the samples were preserved in 5% buffered formaldehyde. On return to the laboratory, the samples were washed to remove the formaldehyde and the macrofauna extracted using light microscopy and preserved in 70% Industrial Methylated Spirit. Animals were identified to the lowest taxonomic level possible and each taxon enumerated to generate the abundance information. The in some samples, the same animals were then weighed after blotting (wet weight) to the nearest 0.0001g to obtain biomass information.",dassh.enquiries@MBA.ac.uk,T,T,Macrobenthos,Abundance
2,Algaebase,"Guiry, M.D. & Guiry, G.M. 2012. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on dd Month yyyy.",NA,"For more information on the restrictions, use contact information.",NA,"AlgaeBase is a database of information on algae that includes terrestrial, marine and freshwater organisms. At present, the data for the marine algae, particularly seaweeds, are the most complete.","Organisms included in AlgaeBase are marine, freshwater and terrestrial algae, although currently the data for marine organisms are the most complete. <b>Cyanobacteria</b> (blue-green algae), <b>Rhodophyta</b> (red algae), <b>Phaeophyceae</b> (brown algae), <b>Chlorophyta</b> (green algae), <b>Discomitochondria</b> (=Euglenophyta), <b>Streptophyta</b> (=Charophyta), <b>Bacillariophyceae</b> (diatoms), <b>Dinoflagellata</b> (dinoflagellates) and <b>Cryptophyta</b> are all treated, together with a number of smaller groups. For convenience, we have included sea-grasses, although these are flowering plants and not algae. The taxon Fungi appears in the ""Taxonomy Browser"" because of Mastodia, a genus of lichenized fungi first based on an Antarctic alga.<p>We are endeavouring to add as many names as possible to AlgaeBase, although in a number of instances no data are provided other than the names and the nomenclatural authorities. In other instances, the synonyms and current names and synonyms have not been connected up (and are labelled as ""Provisional""). We think it important that searchers for names find them, and links are provided to GenBank, Index Nominum Algarum, and other sources that may provide additional information.<p>Data on this site are based mainly on published information. This information should always be verified by you, the user, prior to use, as is the normal practice. Distributional data are recorded on the basis of the name used in the publication in question, and some of these names may be misapplied. We are annotating such records as we become aware of them, but these notes are not available just now.<p>AlgaeBase is often a compromise of taxonomic opinions that may or may not reflect your particular conclusions. It is also a work in progress, and is thus incomplete. Please note that AlgaeBase is purely meant as an aid to taxonomic studies and not a definitive source in its own right. You should always check the information included prior to use.<p>During 2002-2011 AlgaeBase was funded by the Higher Education Authority and the then Department of Education & Science, Ireland, under the Priority Research for Third-level Insitutions (PRTLI) Programme Cycles 3 and 4 (itself funded by the EU Structural Funds Programme 2003-2013 and European Regional Development Fund) via the Ryan Institute, and by the European Union as the SeaweedAfrica project (2007-2005, INCO-DEV Contract ICA4-CT2001-10030). Acadian Seaplants Limited, Canada kindly subvents AlgaeBase annually.<p>Many organisations and people have funded, supported and contributed to AlgaeBase since its small beginnings on 20 March 1996. A full list is available on <a href=""http://www.algaebase.org/contributors/"">www.algaebase.org/contributors/</a>.",Michael Guiry,F,NA,"Biology , Ecology - biodiversity , Macroalgae","Algen , Classificatie , Data , Marine Genomics , Soorten , Taxonomie"
24,Dispersal of pelagic organisms of the Belgian Continental Shelf,"Rappé, K.; Gheerardyn, H.. (2004). Dispersal of pelagic organisms of the Belgian Continental Shelf. Afdeling Mariene Biologie - Ugent, Belgium. Http://www.vliz.be/imis/imis.php?module=dataset&dasid=24",NA,Attribution (CC BY),,"Study of the dispersion and dispersal mechanisms of pelagic key species on the Belgian Continental Shelf (BCS). The focus of the dataset is on those species that have a pelagic life-style or have pelagic larvae, mainly clupeidae.
The Belgian coastal waters are internationally very important areas for a number of sea and coastal birds. Studying the distribution patterns of the possible food sources (i.c. Pelagic fish) of these birds will lead to a better understanding of their spatial distribution patterns.
Sampling is done with the Zeeleeuw R.V. Underway data is registrated in MIDAS.","Between January 2003 and February 2004 samples were taken on a monthly basis at eight different station in the Belgian Continental Shelf. The pelagic fish samples were taken using a MIK-net (Midwater Isaac's Kidd trawl) with a mesh size of 3 by 3 mm. 
At each station trawling took place above the bottom and below the water surface and a number of environmental parameters were recorded (turbidity, salinity en temperature) using a CTD-scan (SBE 19plus). All fish identified to species, counted, measured and densities were calculated. For dominant species, focus was on spatial and temporal variation as well as size distribution.",Karen Rappé,F,NA,"Biology , Fish","Belgisch Continentaal Plat , Data , Marine Genomics , Pelagische visserij , Verspreidingsfenomenen , Vis , Vogels"
54,"Meiobenthos at station 115bis in the Belgian Part of the North Sea, 1999.","Steyaert, M. (1999). Meiobenthos at station 115bis - bentho-pelagic coupling. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.",NA,Attribution (CC BY),,"The abundance, community composition and species diversity of the nematode community at a station on the Belgian Continental Shelf is documented on a monthly basis. This study was carried out as part of a PhD thesis","The response of a nematode community to phytoplankton sedimentation was investigated at an organically enriched station on the Belgian coast, 115 bis. Both structural (abundance, community comosition and species diversity) and functional (trophic composition) aspects of the nematode community were evaluated on a monthly basis. The phytoplankton community was analysed by examining diatoms and <i>Phaeocystis</i> colonies in surface waters. To assess phytoplankton sedimentation, pigment content of the sediment was determined on a regular basis.",Universiteit Gent; Faculteit Wetenschappen; Vakgroep Biologie; Onderzoeksgroep Mariene Biologie,F,NA,"Biology , Benthos , Invertebrates","Continentaal plat , Meiobenthische organismen , Meiobenthos , Nematoden"
82,Taxonomic Information System for the Belgian coastal area,"Flanders Marine Institute (VLIZ). Taxonomic Information System for the Belgian coastal area. 10 Aug 2004, Oostende, Belgium, Accessed on [dd/mm/yyyy].",NA,Attribution (CC BY),,Taxonomic Information System for the Belgian coastal area. Biogeographical information on (mainly) Belgian species. Focus area of the dataset spans from north of Wimereux (northern France) to the Scheldt estuary (southern Netherlands).,"With TISBE, VLIZ tries to develop a comprehensive list of species recorded from the Belgian coast, the Southern Bight of the North Sea and the surrounding countries. The focal area for this database spans from northern France (rocky shores north of Wimereux, where the fauna changes dramatically) to southern Holland, including the Delta area and whole of the tidal part of the Scheldt estuary. Distributions from further away are recorded only if the are listed in publications dealing mainly with distribution records from the focus area. The precision with which the distribution records, both on the geographical and on the temporal scale, are recorded, is variable: the closer a record is to the focal area, the more details we try and record. 

The sources of information are mainly published literature. All distribution records contain a description of the source. Leaving such an 'audit trail' makes it possible to check the validity of every single distribution record by going back to the sources of our information. 

TISBE is build on top of VLIZ's species register, Aphia, and this web application always contains links to taxonomic details, and other taxon-specific information, as they are known in Aphia. From within TISBE, only those species are visible that are known to occur in the area.",Leen Vandepitte,F,NA,"Biology , Benthos , Macroalgae , Phytoplankton , Zooplankton , Reptiles , Fish , Birds , Mammals","Bibliografische informatie , Biogeografie , Biologie , Ecologie , Habitat , Morfologie (organismen) , Taxonomie"
137,Hyperbenthic communities of the North Sea,"Dewicke, A; Marine Biology Section (MARBIOL) – Ugent, Belgium; (2014): Hyperbenthic communities of the North Sea",NA,Attribution-ShareAlike (CC BY-SA),NA,The spatio-temporal distribution of the hyperbenthos communities of the North Sea as well as the regulating factors shaping these communities were studied.,"The spatio-temporal distribution of the hyperbenthos communities of the North Sea as well as the regulating factors shaping these communities were studied. This was approached by examining species composition, density, biomass and diversity of the hyperbenthos within well-chosen areas of the North Sea.",Ann Dewicke,F,NA,"Biology , Benthos , Invertebrates","Bentische gemeenschappen , Data , Hyperbenthos , Marine Genomics"
146,Epi- and hyperbenthic communities of Belgian sandy beaches,,NA,Attribution (CC BY),NA,"This is the first study on the epi- and hyperbenthic fauna of the surf zone of sandy beaches of the Belgian coast. Therefore, as a first objective of this thesis, a lot of attention has been paid to the inventarisation (species composition), and to the investigation of the temporal and spatial distribution patterns of both communities. A temporal and a spatial campaign were performed during which the hyper- and epibenthos was sampled.","During the temporal campaign monthly samples were taken at 4 selected stations and the spatial campaign involved sampling of 12 stations along the Belgian coast. All in all, the surf zone of the Belgian coast is a habitat for a considerable number of species. The surf zone harbours a rich hyperbenthic fauna and also the epibenthic assemblage is diverse. Total hyper- and epibenthic densities were comparable or even higher than those of the adjacent, subtidal regions. It seems that the Belgian surf zone can be seen as an extension of the rich shallow sand bank system in front of the coast. Differences in total hyperbenthic densities with other European sandy beaches might be linked to the degree of exposure. An attempt was made to elucidate the major environmental variables structuring the communities. Therefore several environmental variables were measured at the moments of sampling. Different uni- and multivariate statistical techniques were used for the analyses of the data. Although clear temperature-related seasonal distribution patterns were observed, the hyper- and epibenthic communities of the surf zone can also be influenced severely by hydrodynamic factors and this both by short-term events (e.g. storm) and long-term effects (influence on morpho- dynamics of the beach). Spatial differences were found both in species richness and in density. In general, highest hyper- and epibenthic densities were found on flat, wide beaches, but also intermediate sites and sites with a high turbidity were characterised with high densities and a high number of species. Although clear distribution patterns could be observed, the much lower densities of the epibenthos compared to the hyperbenthos, might require a higher sampling effort with replicate sampling in future research. Furthermore, this study indicates that both intertidal and subtidal characteristics should be considered if the (mobile) surf zone fauna is investigated. Stomach/gut content analyses were performed on five common flatfish fish species from epibenthic samples taken during the temporal campaign in order to unravel part of the surf zone food web. Additional fish were obtained from commercial fishermen. Prey items of all species included hyperbenthic (e.g. mysids), endobenthic (e.g. polychaetes) and epibenthic (e.g. shrimps) species. Little dietary overlap was observed. If diet overlap did occur, it mainly involved prey species that are dominant in the surf zone of the studied beaches, such as shrimps and mysids. These results confirm the opportunistic utilisation by flatfish of the available food resources in surf zone ecosystems. Such opportunistic utilisation of food resources can be important for teleosts frequenting physically stressed environments such as surf-exposed beaches. The diets of turbot Scophthalmus maximus and brill Scophthalmus rhombus reveal part of the main interactions between the hyper- and epibenthos, whereas those of plaice Pleuronectes platessa, dab Limanda limanda and sole Solea solea reveal important links between the epibenthos and the macro-endobenthos within the local surf zone food web. Three 24-hours sampling cycles were performed to study short term migration patterns. Again the hyper- and epibenthos was sampled alternatingly each hour. Stomach content analyses were performed on juvenile plaice Pleuronectes platessa of the first 24h-cycle (spring tide). Possible interactions between the epi- and hyperbenthic organisms are discussed. Despite the turbulent conditions of the studied sites, clear tidal (e.g. I-group plaice Pleuronectes platessa, the brown shrimp Crangon crangon) and diurnal (e.g. juvenile sole Solea solea) periodicities were observed in many macrocrustacean and demersal fish species. An opportunistic utilisation of available food resources is again suggested as I-group plaice clearly migrate high up the beach during flood to disperse in order to profit from the rich macrobenthic area (mainly the polychaete Scolelepis squamata and ends of Arenicola species), while the 0-group feeds mainly on the most abundant hyper- and macrobenthic organisms from somewhat deeper water (mainly palps of the polychaete Magelona papillicornis and cyprid larvae). Finally, it can be concluded that the Belgian surf zone functions as a nursery and/or transient are for hyper- as well as epibenthic stages of several species.",Bregje Beyst,F,NA,"Biology , Benthos , Coastal studies (e.g. shores, estuaries)","Bentische gemeenschappen , Epibenthos , Hyperbenthos , Stranden , Zandige stranden"
153,"Characterisation of the habitat of the Flemish banks, the maritime country banks and of the hinder banks on the basis of the hyper benthos communities","Cattrijsse, A.; Verween, A. ; Marine Biology Research Group - Ugent, Belgium (2004). Characterisation of the habitat of the Flemish banks, the maritime country banks and of the hinder banks on the basis of the hyper benthos communities. http://www.vliz.be/nl/imis?module=dataset&dasid=153",NA,Attribution (CC BY),NA,"The hyperbenthic community of subtidal sandbanks is described (density, species composition) and related to abiotic variables in order to get an idea about the habitats and the biota of the sandbanks.","Sampling took place at 3 different Sand Banks: the Oosthinder, the Kwintebank and the Thorntonbank. At each bank, 6 stations were sampled, once in spring and once in authumn.",André Cattrijsse,F,NA,"Biology , Benthos , Ecology - biodiversity","Bentische gemeenschappen , Ecosysteem functionering , Habitat , Hyperbenthos , Zandbanken"
156,Spatial and temporal epibenthos and hyperbenthos variations at the Belgian Continental Shelf monitoring stations,"Cattrijsse, A. ; Marine Biology Research Group - Ugent, Belgium (2004). Spatial and temporal epibenthos and hyperbenthos variations at the Belgian Continental Shelf monitoring stations. Http://www.vliz.be/nl/imis?module=dataset&dasid=156",NA,Attribution (CC BY),NA,Spatial and temporal distribution patterns of the epi- and hyperbenthic community were studied at the monitoring stations on the Belgian Continental Shelf.,NA,André Cattrijsse,F,NA,"Biology , Benthos , Ecology - biodiversity","Bentische gemeenschappen , Epibenthos , Hyperbenthos , Ruimtelijk variaties , Temporele variatie , Zandbanken"
162,The hyperbenthos of subtidal sandbanks on the Belgian Continental Shelf: habitats and indicator species,,NA,Attribution (CC BY),NA,"The structural biodiversity of the hyperbenthos of subtidal sandbanks on the BCS is studied. Furthermore, ecological indicator species are determined which can be usefull parameters for policy makers.",NA,André Cattrijsse,F,NA,"Biology , Benthos","Bentische gemeenschappen , Hyperbenthos , Zandbanken"
209,TROPHOS/PODO-I work-database I (23/01/2004): Meiobenthos from station 330 - structural and funtional biodiversity on the Belgian Continental Shelf,"Vanaverbeke, J. (1999). Nematodes from station 330: structural and functional biodiversity on the Belgian Continental Shelf. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium. http://www.vliz.be/nl/imis?module=dataset&dasid=209",NA,Attribution (CC BY),,The principle aim of this research was to investigate the morphometry of nematode communities as triggered by a phytoplankton spring bloom deposition in a well oxygenated North Sea sampling station. Length and width measurements are available together with densities,"The response of nematode communities to the sedimentation of a spring phytoplankton bloom in a sandy, well-oxygenated sediment in the Southern North Sea is investigated from early March to July 1999) with monthly intervals. Both structural (nematode density, diversity, vertical distribution and community composition) and functional (feeding type distributions, number of species within feeding groups) characteristics were investigated. Vertical profiles of pigment concentrations in the water column were determined.",Jan Vanaverbeke,F,NA,"Biology , Benthos , Ecology - biodiversity","Continentaal plat , Fytoplankton , Meiobenthische organismen , Meiobenthos , Nematoden"
466,Ecological hyperbenthic data of the Scheldt estuary: historical data (1988-2001),"Beyst, B.; Fockedey, N.; Hostens, K.; Mees, J.; Marine Biology Research Group - Ugent, Belgium  (2004). Ecological hyperbenthic data of the Scheldt estuary: historical data (1988-2001). http://www.vliz.be/nl/imis?module=dataset&dasid=466",NA,Attribution (CC BY),NA,Data on the ecology of the hyperbenthos community of the Scheldt estuary were derived from research projects on this matter (1988-2001).,NA,Nancy Fockedey,F,NA,"Biology , Ecology - biodiversity , Invertebrates","Benthische grenslaag , Biologische data , Ecologie , Estuaria , Hyperbenthos , Saliniteitsgradiënt"
467,Ecological hyperbenthic data of the Scheldt estuary: ENDIS-RISKS data (2002-2005),,NA,Attribution (CC BY),,"Density, biomass, population structure and brood size were determined for Mysid shrimp populations in the Scheldt-estuary.",NA,Nancy Fockedey,F,NA,"Biology , Ecology - biodiversity , Invertebrates","Benthische grenslaag , Biologische data , Ecologie , Estuaria , Hyperbenthos , Saliniteitsgradiënt"
472,TROPHOS/PODO-I integrated database,"Soetaert K. 2004: TROPHOS/PODO-I work-database II. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=472",NA,Attribution (CC BY),,"This dataset is the updated version of the ""TROPHOS/PODO-I work-database Soetaert"" dataset. Additional tables with TROPHOS data are added (from Ugent and NIOO).",The parameters that are measured are listed in the child datasets.,,F,NA,"Biology , Benthos , Ecology - biodiversity , Invertebrates",Fytoplankton
496,Biogeography Scheldt Estuary,"Sistermans W., Hummel H. 2003: Biogeography Scheldt Estuary. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=496",NA,Attribution (CC BY),,Taxonomy database of the Western and Sea Scheldt from the of the Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology; Department of Ecosystem Studies,NA,,F,NA,"Biology , Benthos , Geography","Biogeografie , Estuaria"
505,"A comparison of benthic biodiversity in the North Sea, English Channel and Celtic Seas - Epifauna","Rees, H.L. et al. A comparison of benthic biodiversity in the North Sea, English Channel and Celtic Seas - Epifauna. Centre for Environment, Fisheries and Aquaculture Science; Burnham Laboratory, 12 Apr 2005, Essex, UK.",NA,Attribution (CC BY),,"Comparison dataset of Animalia in the North Sea, the English Channel and the Celtic Sea.","Samples were obtained by MAFF research vessels from 69 stations between 1992 and 1996.

A standard 2 m Lowesoft beam trawl with a 3 mm mesh codend liner was deployed for 5-10 min across each station at a speed of about 0.5 m/s. The ""start"" (locking of winch following seabed contact) and ""end"" (commencement of hauling) positions were recorded. Tow length averaged about 400 m, but varied substantially (s.d. = 290) depending on tidal current velocity and wind strength at the time of sampling. On retrieval of the trawl, an estimate of sample volume was made, along with a summary of the contents, noting especially the presence of stones, rock, etc. The sample was then sorted on deck over a 5 mm mesh sieve. Most specimens were identified and enumerated at sea. Any problematic specimens were preserved in formalin for identification on land.

The presence of infaunal organisms arising from the fouling of soft sediments was noted, as were occurences of pelagic species such as jellyfish. However, these records were excluded from the final compilation of the data. The former included most polychaete worms (with the exception of encrusting forms such as <i>Sabellaria</i> and <i>Filograna</i>, and surface-dwellling specimens within the family Aphroditidae), bivalve molluscs (excepting taxa with a surface-dwelling habitat such as <i>Chlamys</i> and <i>Modiolus</i>), and burrowing echinoderms such as <i>Echinocardium</i> and <i>Amphiura</i>.",Hubert Rees,F,NA,"Biology , Benthos , Ecology - biodiversity","Bentische gemeenschappen , Biogeografie , Epibenthos , Macrobenthos"
610,BEWREMABI dataset: Belgian Shipwreck - hotspots for Marine Biodiversity: Macrofauna on shipwrecks,,NA,Attribution (CC BY),,Data gathered during BEWREMABI project sampling campaigns,Data was gathered during BEWREMABI project (part of SPSD-II federal science policy programme) sampling campaigns. Epifauna was scraped from horizontal or vertical quadrates. On board the macrofauna was seperated from the meiofauna and the macrofauna samples were identified to species level. For two cruises the meiofauna was worked out as well (see related dataset http://www.vliz.be/imis/imis.php?module=dataset&dasid=837).,Vincent Zintzen,F,NA,"Biology , Ecology - biodiversity","Biodiversiteit , Macrobenthos , Macrofauna , Scheepswrakken , Wrakken"
641,Marine Life Survey Data (collected by volunteers) collated by MarLIN,"Parr, J. Marine Life Survey Data (collected by volunteers) collated by MarLIN. MarLIN, collated Marine Life Survey Datasets, Marine Biological Association of the UK, Plymouth, UK.",NA,Attribution (CC BY),,Collection of marine life surveys collated by the Marine Life Information Network (MarLIN) as part of their data access program.,"Surveys are either flagged as professional surveys or data collected by volunteer recorders as part for the Sealife Survey. Information about survey methodology can be found on the MarLIN Web site (www.marlin.ac.uk). There are currently 368 surveys collated by MarLIN containing 250,000 species records. Data ownership remains with the data provider and permission must be sought for commercial use of the data.",Jon Parr,F,NA,"Biology , Benthos , Macroalgae , Plants , Fish , Birds , Mammals","Data , Marine Genomics"
658,Cefas01 - Structure of sublittoral nematode assemblages around the UK coast,"Schratzberger, M. (1998). Structure of sublittoral meiofauna assemblages around the UK coast. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.",NA,Attribution (CC BY),NA,"Nematode and harpacticoid copepod species abundance data are listed as counts per sample. Other available data include sediment granulometry and trace metal concentrations. For a detailed description, see listed publications",Meiobenthos was sampled and environmental variables were measured at a number of stations around the UK coast to improve the understanding of how species assemblages respond to both anthropogenic impacts and natural environmental factors.,Michaela Schratzberger,F,NA,"Biology , Benthos , Ecology - biodiversity","Meiobenthos , Sublittoral zone"
